epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3985,2.93302,46.9982,0.93304,0,0,0,0,5.84178,34.574,1.48458,0.00014,0.00014,0.00014
2,45.6426,5.14408,44.109,1.37532,0,0,0,0,5.84283,28.5758,1.44556,0.00029406,0.00029406,0.00029406
3,65.8578,4.84588,18.9721,1.24206,0,0,0,0,5.90403,19.994,1.27478,0.000441784,0.000441784,0.000441784
4,86.4989,4.91028,14.0849,1.06596,0,0,0,0,5.32674,13.848,0.99965,0.000583172,0.000583172,0.000583172
5,106.814,4.70132,10.8233,0.94722,0,0,0,0,5.94658,19.7108,1.00608,0.000718224,0.000718224,0.000718224
6,126.64,4.72739,13.5849,0.84785,0,0,0,0,5.94658,19.7108,1.00608,0.00084694,0.00084694,0.00084694
7,147.324,4.33599,7.00019,0.87231,0,0,0,0,5.48879,14.0279,0.96718,0.00096932,0.00096932,0.00096932
8,166.981,4.47742,7.27391,0.89786,0,0,0,0,5.48879,14.0279,0.96718,0.00108536,0.00108536,0.00108536
9,186.48,4.38598,8.92437,0.8537,0,0,0,0,5.48879,14.0279,0.96718,0.00119507,0.00119507,0.00119507
10,207.141,4.34569,7.13239,0.8597,0,0,0,0,4.2397,8.22762,0.92127,0.00129844,0.00129844,0.00129844
11,226.91,4.22626,6.18022,0.91671,0,0,0,0,4.2397,8.22762,0.92127,0.00139548,0.00139548,0.00139548
12,247.77,4.53621,8.26588,0.8787,0,0,0,0,4.2397,8.22762,0.92127,0.00148618,0.00148618,0.00148618
13,268.215,4.34806,6.40859,0.86568,0,0,0,0,4.2397,8.22762,0.92127,0.0015248,0.0015248,0.0015248
14,288.279,4.23614,6.19063,0.9126,0,0,0,0,4.34928,6.96413,0.92322,0.0014852,0.0014852,0.0014852
15,308.127,4.21538,7.65114,0.94536,0,0,0,0,4.34928,6.96413,0.92322,0.0014456,0.0014456,0.0014456
16,327.563,4.34024,12.5427,0.88363,0,0,0,0,4.34928,6.96413,0.92322,0.001406,0.001406,0.001406
17,347.847,4.64221,12.2209,0.92665,0,0,0,0,4.34928,6.96413,0.92322,0.0013664,0.0013664,0.0013664
18,367.329,4.58389,7.67816,0.90876,0,0,0,0,4.78057,7.3246,0.93571,0.0013268,0.0013268,0.0013268
19,387.032,4.20918,6.72339,0.90544,0,0,0,0,4.78057,7.3246,0.93571,0.0012872,0.0012872,0.0012872
20,406.21,4.35714,8.80463,0.90201,0,0,0,0,4.78057,7.3246,0.93571,0.0012476,0.0012476,0.0012476
21,426.071,4.57637,8.71297,0.89015,0,0,0,0,4.78057,7.3246,0.93571,0.001208,0.001208,0.001208
22,448.733,4.72533,6.99049,0.81867,0,0,0,0,4.59276,7.1585,0.92347,0.0011684,0.0011684,0.0011684
23,468.588,4.31103,7.80875,0.86796,0,0,0,0,4.59276,7.1585,0.92347,0.0011288,0.0011288,0.0011288
24,488.761,4.55689,9.84718,0.85389,0,0,0,0,4.59276,7.1585,0.92347,0.0010892,0.0010892,0.0010892
25,509.355,4.22318,6.58791,0.88388,0,0,0,0,4.59276,7.1585,0.92347,0.0010496,0.0010496,0.0010496
26,530.559,4.12973,9.90379,0.84528,0.00167,0.01667,0.00088,0.00047,4.17267,6.84101,0.90124,0.00101,0.00101,0.00101
27,551.547,4.31563,6.79029,0.86463,0.00167,0.01667,0.00088,0.00047,4.17267,6.84101,0.90124,0.0009704,0.0009704,0.0009704
28,571.482,4.22012,8.14456,0.82674,0.00167,0.01667,0.00088,0.00047,4.17267,6.84101,0.90124,0.0009308,0.0009308,0.0009308
29,592.038,4.26579,6.59667,0.85768,0.00167,0.01667,0.00088,0.00047,4.17267,6.84101,0.90124,0.0008912,0.0008912,0.0008912
30,611.968,4.15714,6.89043,0.90712,0.00083,0.00833,0.00042,0.00013,4.33995,6.37733,0.90464,0.0008516,0.0008516,0.0008516
31,632.253,4.42978,9.35263,0.85431,0.00083,0.00833,0.00042,0.00013,4.33995,6.37733,0.90464,0.000812,0.000812,0.000812
32,651.729,4.10905,5.72738,0.91149,0.00083,0.00833,0.00042,0.00013,4.33995,6.37733,0.90464,0.0007724,0.0007724,0.0007724
33,672.641,4.23953,5.31745,0.82438,0.00083,0.00833,0.00042,0.00013,4.33995,6.37733,0.90464,0.0007328,0.0007328,0.0007328
34,693.171,4.10651,4.66912,0.88151,0.0025,0.025,0.00168,0.00028,4.19735,5.98963,0.88725,0.0006932,0.0006932,0.0006932
35,715.134,4.36446,5.58622,0.83814,0.0025,0.025,0.00168,0.00028,4.19735,5.98963,0.88725,0.0006536,0.0006536,0.0006536
36,735.439,3.95018,7.52009,0.83246,0.0025,0.025,0.00168,0.00028,4.19735,5.98963,0.88725,0.000614,0.000614,0.000614
37,755.503,3.8351,5.7681,0.86003,0.0025,0.025,0.00168,0.00028,4.19735,5.98963,0.88725,0.0005744,0.0005744,0.0005744
38,776.3,3.75552,10.0223,0.76154,0.0025,0.025,0.0015,0.00026,4.09993,5.87086,0.88028,0.0005348,0.0005348,0.0005348
